X,Y,Z,constraint_1,constraint_2
2.5,1.65,639.941,8,0.8
2.5,1.65,642.6527,10,0.8
2.5,1.65,645.2035,12,0.8
2.5,1.65,647.658,14,0.8
2.5,1.65,631.3111,2,0.9
2.5,1.65,634.1553,4,0.9
2.5,1.65,637.0209,6,0.9
2.5,1.65,639.8119,8,0.9
2.5,1.65,642.4983,10,0.9
2.5,1.65,645.0433,12,0.9
2.5,1.65,647.4558,14,0.9
2.5,1.8,605.6705,2,0.2
2.5,1.8,609.4954,4,0.2
2.5,1.8,613.6334,6,0.2
2.5,1.8,617.7518,8,0.2
2.5,1.8,621.8125,10,0.2
2.5,1.8,626.3317,12,0.2
2.5,1.8,630.7668,14,0.2
2.5,1.8,614.6512,2,0.3
2.5,1.8,618.8796,4,0.3
2.5,1.8,622.6026,6,0.3
2.5,1.8,626.4359,8,0.3
2.5,1.8,630.3281,10,0.3
2.5,1.8,633.9365,12,0.3
2.5,1.8,638.2949,14,0.3
2.5,1.8,621.8019,2,0.4
2.5,1.8,625.2174,4,0.4
2.5,1.8,628.7133,6,0.4
2.5,1.8,632.3211,8,0.4
2.5,1.8,636.0705,10,0.4
2.5,1.8,640.0371,12,0.4
2.5,1.8,643.9261,14,0.4
2.5,1.8,626.4918,2,0.5
2.5,1.8,629.9046,4,0.5
2.5,1.8,633.2037,6,0.5
2.5,1.8,636.7503,8,0.5
2.5,1.8,640.2619,10,0.5
2.5,1.8,643.9783,12,0.5
2.5,1.8,647.8767,14,0.5
2.5,1.8,630.0191,2,0.6
2.5,1.8,633.2551,4,0.6
2.5,1.8,636.5504,6,0.6
2.5,1.8,639.721,8,0.6
2.5,1.8,643.072,10,0.6
2.5,1.8,646.4221,12,0.6
2.5,1.8,649.7419,14,0.6
2.5,1.8,632.3906,2,0.7
2.5,1.8,635.4676,4,0.7
2.5,1.8,638.5826,6,0.7
2.5,1.8,641.6684,8,0.7
2.5,1.8,644.6951,10,0.7
2.5,1.8,647.8043,12,0.7
2.5,1.8,650.5606,14,0.7
2.5,1.8,633.5388,2,0.8
2.5,1.8,636.5267,4,0.8
2.5,1.8,639.6708,6,0.8
2.5,1.8,642.5203,8,0.8
2.5,1.8,645.276,10,0.8
2.5,1.8,648.0305,12,0.8
2.5,1.8,650.4432,14,0.8
2.5,1.8,633.7244,2,0.9
2.5,1.8,636.6251,4,0.9
2.5,1.8,639.5347,6,0.9
2.5,1.8,642.3575,8,0.9
2.5,1.8,645.108,10,0.9
2.5,1.8,647.8141,12,0.9
2.5,1.8,650.1042,14,0.9
2.5,1.9,605.0606,2,0.2
2.5,1.9,609.0688,4,0.2
2.5,1.9,613.0091,6,0.2
2.5,1.9,617.0992,8,0.2
2.5,1.9,620.9996,10,0.2
2.5,1.9,625.2007,12,0.2
2.5,1.9,629.8108,14,0.2
2.5,1.9,614.7776,2,0.3
2.5,1.9,619.0313,4,0.3
2.5,1.9,622.7258,6,0.3
2.5,1.9,626.4313,8,0.3
2.5,1.9,629.8353,10,0.3
2.5,1.9,633.6307,12,0.3
2.5,1.9,637.931,14,0.3
2.5,1.9,622.3099,2,0.4
2.5,1.9,625.736,4,0.4
2.5,1.9,629.241,6,0.4
2.5,1.9,632.854,8,0.4
2.5,1.9,636.5662,10,0.4
2.5,1.9,640.2781,12,0.4
2.5,1.9,644.2814,14,0.4
2.5,1.9,627.4545,2,0.5
2.5,1.9,630.6854,4,0.5
2.5,1.9,634.0033,6,0.5
2.5,1.9,637.6062,8,0.5
2.5,1.9,641.108,10,0.5
2.5,1.9,644.9385,12,0.5
2.5,1.9,648.5638,14,0.5
2.5,1.9,630.9148,2,0.6
2.5,1.9,634.1663,4,0.6
2.5,1.9,637.546,6,0.6
2.5,1.9,640.7784,8,0.6
2.5,1.9,644.2,10,0.6
